"","X","Round","Cycle","MouseID","Gender","Donor","ASD_diagnosis","OFT_Distance","OFT_velocity","OFT_LrgCntr_freq","OFT_LrgCntr_duration","OFT_LrgCntr_latency","OFT_SmlCntr_freq","OFT_SmlCntr_duration","OFT_SmlCntr_latency","OFT_Movement","MB_visible","MB_buried","MB_percentBuried","DSI_Agrsn_freq","DSI_Agrsn_duration","DSI_Social_freq","DSI_Social_duration","DSI_Groom_freq","DSI_Groom_Duration","SI_Habit_Social","SI_Habit_Cntr","SI_Habit_NonSocial","SI_Sociability_Social","SI_Sociability_Cntr","SI_Sociability_NonSocial","Unnamed..30","Unnamed..31","Unnamed..32","USV_freq","USV_Duration","DSI_USV_median","DSI_USV_StdDev","DSI_USV_Freq","DSI_USV_Duration","DSI_USV_Slbl_num","DSI_USV_Slbl_Duration","DSI_USV_Slbl_Gap_Length","DSI_USV_Slbl_Bout_freq","DSI_USV_Slbl_Bout_gap","DSI_USV_Slbl_SlblPerBout","Unnamed..45","SI_index"
"102",590,9,3,25,"Male","N5","NT",4234.59,7.06079,122,65.5322,5.10511,35,76.977,16.4498,52.7721,20,0,0,0,0,13,27.645,2,7.55,244.378,222.689,118.685,174.675,144.645,252.286,NA,NA,NA,NA,NA,0.00544,0.01199,59,0.3211,7,24,44243,6,13,1,NA,-9.08876923185021
"103",591,9,3,26,"Male","N5","NT",6000.65,10.0469,144,93.2599,6.13947,71,79.7798,6.37304,62.3923,5,15,75,NA,NA,NA,NA,NA,NA,108.041,237.471,228.862,262.496,57.7911,216.984,NA,NA,NA,NA,NA,0.01101,0.01899,60,0.661,34,10,8608,28,20,1,NA,4.74597480603987
"104",592,9,3,27,"Male","N5","NT",6029.94,10.0555,105,48.9823,17.3507,48,61.9953,17.5843,59.7509,19,1,5,0,0,11,23.35,3,0.8,183.417,252.586,138.705,277.511,79.5462,207.207,NA,NA,NA,NA,NA,0.01002,0.0204,84,0.842,12,14,29943,11,32,1,NA,7.25205170841603
"105",593,9,3,28,"Male","N5","NT",6094.96,10.2117,150,65.4988,1.26793,58,54.0207,26.6934,62.0531,18,2,10,1,1.705,13,27.05,3,2.83,139.706,165.132,250.984,268.368,78.2115,168.135,NA,NA,NA,NA,NA,0.00928,0.01926,86,0.7986,18,9,17759,7,5012,3,NA,11.4813643892482
"106",594,9,3,29,"Male","A24-new","ASD",4360.22,7.26703,101,68.2349,5.8058,33,33.1665,61.4281,54.4459,16,4,20,0,0,19,58.565,3,12.055,104.571,145.145,330.597,276.777,70.2035,240.541,NA,NA,NA,NA,NA,0.00299,0.00488,53,0.1588,4,7,42462,3,10000,1,NA,3.50229452677076
"107",595,9,3,30,"Male","A24-new","ASD",3228.06,5.38011,65,48.1815,0,19,19.6864,36.9369,43.758,15,5,25,0,0,19,33.225,1,11.865,258.659,154.388,116.083,307.641,48.9823,210.911,NA,NA,NA,NA,NA,0.00677,0.01217,28,0.1898,8,22,46013,6,16,1,NA,9.32693346086796
"108",596,9,3,31,"Male","A24-new","ASD",4697.43,7.8308,123,103.737,6.84017,50,67.5676,7.14047,55.0742,7,13,65,0,0,25,88.26,1,6.73,137.804,209.243,240.507,272.639,70.7374,225.259,NA,NA,NA,NA,NA,0.01362,0.01846,879,11.9734,761,23,430,115,158,7,NA,4.75800264311165
"109",597,9,3,32,"Male","A24-new","ASD",4518.61,7.53604,145,69.1692,6.94027,55,55.5222,7.64097,54.4292,16,4,20,0,0,21,102.525,2,7.165,153.42,259.026,117.918,272.472,71.4047,197.698,NA,NA,NA,NA,NA,0.01626,0.04179,42,0.683,NA,NA,NA,NA,NA,NA,NA,7.95180466639726
"110",598,9,3,33,"Male","C1","NT",4213.85,7.02309,113,48.4151,13.8472,38,30.7641,15.4821,52.1882,18,2,10,0,0,22,45.96,4,2.605,249.55,192.059,133.3,207.908,118.919,265.165,NA,NA,NA,NA,NA,0.01223,0.03307,80,0.9786,12,9,27753,2,50119,6,NA,-6.05160302955358
"111",599,9,3,34,"Male","C1","NT",3593.67,5.99179,83,58.692,3.5035,29,54.3877,15.6823,47.4003,12,8,40,0,0,23,111.04,2,2.225,160.194,235.836,173.64,288.088,80.4138,203.871,NA,NA,NA,NA,NA,0.00386,0.00756,221,0.8535,97,8,1068,45,158,2,NA,8.559351490673
"112",600,9,3,35,"Male","C1","NT",2687.43,4.51749,75,44.5779,6.47314,31,68.0681,6.84017,36.3844,11,9,45,11,61.295,12,51.995,6,14.505,92.8262,151.518,310.344,325.392,33.4001,210.677,NA,NA,NA,NA,NA,0.04745,0.07175,154,7.3079,44,85,8079,28,501,2,NA,10.6996487392481
"113",601,9,3,36,"Male","C1","NT",3983.77,6.64184,139,116.216,1.13447,47,92.2923,10.5105,48.9907,16,4,20,6,18.505,27,83.535,2,10.405,107.374,193.06,246.346,264.364,68.7688,198.098,NA,NA,NA,NA,NA,0.01783,0.09162,279,4.9766,99,19,3508,29,158,3,NA,7.16448054110392
"114",602,9,3,37,"Female","C1","NT",5410.56,9.02312,136,118.185,9.34268,58,63.2966,9.54288,57.3899,9,11,55,4,13.98,20,56.52,3,2.945,211.512,254.087,112.713,262.863,61.0611,271.905,NA,NA,NA,NA,NA,0.02341,0.04568,862,20.1866,559,35,440,116,158,5,NA,-0.845413338120458
"115",603,9,3,38,"Female","C1","NT",4846.27,8.08251,125,53.5536,4.73807,53,48.9489,18.5185,54.6653,2,18,90,0,0,16,65.83,3,19.59,154.021,254.054,118.819,262.963,113.08,205.038,NA,NA,NA,NA,NA,0.02127,0.03053,689,14.6552,465,31,744,63,158,7,NA,6.18855515265992
"116",604,9,3,41,"Female","A3-old","ASD",4084.18,6.81454,123,111.211,7.74107,57,63.1965,9.80981,48.2151,10,10,50,0,0,10,22.07,0,0,145.512,230.297,201.869,265.399,89.7231,199.5,NA,NA,NA,NA,NA,0.00549,0.00813,36,0.1978,4,5,51586,3,39811,1,NA,7.08745340385762
"117",605,9,3,42,"Female","A3-old","ASD",3872.06,6.48806,91,109.376,10.5772,38,78.1114,92.7261,48.5431,15,5,25,0,0,11,14.28,5,19.255,116.149,219.987,214.615,234.134,104.705,211.311,NA,NA,NA,NA,NA,0.00247,0.00563,29,0.0719,12,6,28792,8,501,2,NA,2.56182020226964
"118",606,9,3,43,"Female","A3-old","ASD",4416.78,7.36539,126,64.1975,3.5035,42,26.3597,32.5993,52.7135,5,15,75,0,0,16,18.38,3,10.74,331.565,114.448,124.491,260.427,62.3957,234.801,NA,NA,NA,NA,NA,0.00567,0.01651,397,2.2528,121,19,2945,50,158,2,NA,2.58729312559064
"119",607,9,3,44,"Female","A3-old","ASD",4498.46,7.58005,113,63.5636,1.93527,52,111.979,2.16884,48.9546,2,18,90,0,0,8,4.69,2,11.65,169.903,311.712,80.1802,246.68,78.7454,218.118,NA,NA,NA,NA,NA,0.00942,0.01385,54,0.5088,48,25,5838,16,200,3,NA,3.0725175237415
"120",608,9,3,45,"Female","A24-new","ASD",3146.45,5.25754,88,117.784,9.57624,36,64.4645,10.5105,40.1268,13,7,35,0,0,12,13.51,4,12.105,246.446,176.577,111.378,307.241,74.1742,177.211,NA,NA,NA,NA,NA,0.00573,0.01367,137,0.7851,49,13,6660,29,158,2,NA,13.4203182152205
"121",609,9,3,46,"Female","A24-new","ASD",4195.94,7.01313,154,112.312,12.9463,57,59.6263,13.2466,49.4967,14,6,30,0,0,14,22.945,1,7.855,158.058,196.964,94.4611,365.265,47.9813,113.113,NA,NA,NA,NA,NA,0.0055,0.01227,154,0.8478,43,16,7564,26,158,2,NA,26.3548909021736
"122",610,9,3,47,"Female","A24-new","ASD",3367.88,5.61439,53,20.2202,15.9159,16,12.6793,16.3497,41.3502,3,17,85,0,0,22,35.19,3,11.035,109.843,189.523,256.523,293.193,87.2206,190.757,NA,NA,NA,NA,NA,0.01478,0.0319,634,9.3744,497,24,694,114,158,4,NA,10.5833247236285
"123",611,9,3,48,"Female","A24-new","ASD",5198.9,8.6885,157,86.2529,5.9059,65,55.5222,6.17284,58.8667,14,6,30,0,0,19,21.165,4,6.81,171.371,185.986,182.983,234.768,76.1762,244.111,NA,NA,NA,NA,NA,0.01811,0.02516,985,17.8475,794,29,380,96,200,8,NA,-0.975507382867072
"124",612,9,3,49,"Female","A24-new","ASD",4545.01,7.57923,98,66.0661,6.97364,46,56.8569,7.80781,53.9343,13,7,35,0,0,15,22.15,1,7.03,229.129,175.242,171.004,279.446,37.6043,214.014,NA,NA,NA,NA,NA,0.00773,0.02185,294,2.2748,152,16,2361,57,200,3,NA,6.62991934503303
"125",613,9,3,50,"Female","A24-new","ASD",4854.5,8.14064,112,66.1328,3.77044,41,68.335,4.07074,57.6266,8,12,60,0,0,18,14.605,0,0,192.593,200.334,175.576,172.639,50.5505,256.89,NA,NA,NA,NA,NA,0.00736,0.00949,48,0.3533,31,21,6456,21,200,1,NA,-9.80737039873908
"126",614,9,3,51,"Female","A24-new","ASD",5394.26,8.99694,116,59.0924,6.60661,40,57.3907,22.8562,58.027,12,8,40,0,0,6,6.845,6,19.255,206.24,219.62,155.756,178.512,100.467,304.671,NA,NA,NA,NA,NA,0.01144,0.03189,481,5.503,135,18,2638,43,158,3,NA,-13.0549915870385
"127",615,9,3,53,"Female","C1","NT",3478.48,5.82532,114,53.1198,0.667334,39,27.9947,0,40.8141,16,4,20,0,0,12,13.315,3,11.67,170.571,229.563,174.942,247.114,114.081,216.65,NA,NA,NA,NA,NA,0.00493,0.00898,143,0.7056,95,14,3580,44,200,2,NA,3.2844291493087
"128",616,9,3,54,"Female","C1","NT",3481.26,5.8339,87,98.5319,0.633967,32,32.9329,0,42.3821,15,5,25,0,0,14,10.985,0,0,145.212,226.393,186.52,219.686,64.7314,266.033,NA,NA,NA,NA,NA,0.02076,0.05055,16,0.3323,3,22,22924,2,6310,2,NA,-4.77096839942436
"129",617,9,3,55,"Female","C1","NT",6040.96,10.0828,150,68.335,1.03437,48,91.6583,33.9006,64.7687,11,9,45,0,0,22,39.375,2,5.385,162.262,195.495,214.114,212.846,119.453,235.903,NA,NA,NA,NA,NA,0.0268,0.03284,621,16.6465,603,33,514,90,200,7,NA,-2.56903079449759
"130",618,9,3,56,"Female","C1","NT",3636.04,6.35851,133,105.839,9.34268,66,91.6583,9.84318,49.9555,7,13,65,0,0,24,46.38,8,11.025,143.677,192.993,219.686,253.854,68.9022,218.252,NA,NA,NA,NA,NA,0.0146,0.02342,851,12.4265,758,22,426,114,200,7,NA,3.77055152868212
"131",619,9,3,57,"Female","A3-old","ASD",5265.93,8.79367,136,60.06,15.6156,44,37.8378,16.0494,58.7967,17,3,15,0,0,14,12.54,3,10.185,108.775,205.572,243.677,281.181,84.5846,213.814,NA,NA,NA,NA,NA,0.01103,0.03292,151,1.6659,60,20,5724,28,158,2,NA,6.80481621026475
"132",620,9,3,58,"Female","A3-old","ASD",3721.59,6.33692,99,75.8091,0.233566,38,51.4515,0,44.1559,12,8,40,0,0,11,14.1,2,8.925,141.441,190.257,222.089,216.55,69.6363,258.458,NA,NA,NA,NA,NA,0.00445,0.0058,22,0.098,3,5,42413,2,50119,2,NA,-4.41129412557262
"133",621,9,3,59,"Female","A3-old","ASD",5925.77,10.1315,159,78.1782,0.467133,60,55.689,0.8008,61.6882,17,3,15,0,0,22,35.965,1,8.98,197.364,210.077,170.938,354.188,68.335,159.826,NA,NA,NA,NA,NA,0.00526,0.00878,85,0.4471,63,8,3424,31,158,2,NA,18.9062943810869
"134",622,9,3,60,"Female","A3-old","ASD",7197.69,11.9988,174,59.7264,1.23457,67,50.1168,1.43477,70.5238,15,5,25,0,0,14,32.07,2,8.35,138.705,242.075,170.771,250.484,69.8699,187.621,NA,NA,NA,NA,NA,0.00991,0.02062,415,4.1131,218,17,1301,50,158,4,NA,7.17442165690873
"135",623,9,3,61,"Female","N5","NT",4917.92,8.41459,133,80.2803,3.5035,48,53.0864,15.5822,54.6627,10,10,50,0,0,11,8.655,2,6.54,230.564,145.179,211.945,226.76,95.6623,223.924,NA,NA,NA,NA,NA,0.00727,0.01718,46,0.3348,19,17,12496,16,100,1,NA,0.314632869150003
"136",624,9,3,62,"Female","N5","NT",4206.87,7.08355,96,67.6677,2.63597,36,57.324,51.2513,48.6237,20,0,0,0,0,16,40.25,2,3.955,162.362,199.199,189.89,246.38,41.8752,191.758,NA,NA,NA,NA,NA,0.00567,0.00974,46,0.2612,14,8,24860,10,398,1,NA,6.23342417229275
"137",625,9,3,63,"Female","N5","NT",3011,5.01973,56,26.026,13.6136,23,22.0554,13.9806,40.1601,1,19,95,0,0,23,29.78,2,13.54,216.817,214.948,129.062,NA,NA,NA,NA,NA,NA,NA,NA,0.01485,0.03703,15,0.2228,7,31,29381,4,158,2,NA,NA
"138",626,9,3,64,"Female","N5","NT",3909.15,6.66348,102,75.6423,0.867534,42,70.704,7.57424,44.8924,15,5,25,0,0,7,3.985,8,12.72,260.527,140.674,102.536,NA,NA,NA,NA,NA,NA,NA,NA,0.00383,0.00538,64,0.2451,16,10,22297,7,12589,2,NA,NA
"139",628,9,3,69,"Female","N5","NT",3604.23,6.19978,63,48.3817,7.04037,22,17.651,7.87454,46.7304,19,1,5,0,0,10,25.435,2,7.035,264.131,225.359,81.715,263.463,72.7394,228.328,NA,NA,NA,NA,NA,0.01015,0.0277,525,5.3321,213,15,1378,67,158,3,NA,3.57214751794969
"140",629,9,3,70,"Female","N5","NT",4415.32,7.40043,147,91.2913,1.43477,63,142.676,0,50.4615,16,4,20,0,0,8,9.92,5,30.565,253.086,208.709,91.992,265.966,115.382,165.799,NA,NA,NA,NA,NA,0.00668,0.01567,21,0.1403,18,19,20660,6,1000,3,NA,11.5997128067352
"141",630,9,3,71,"Female","N5","NT",3799.05,6.34338,86,57.2906,4.97164,27,26.1929,5.13847,43.7834,19,1,5,0,0,6,4.035,3,16.045,184.618,233.133,157.357,228.061,83.2833,258.725,NA,NA,NA,NA,NA,0.01005,0.02763,54,0.5429,17,16,19639,2,63096,9,NA,-3.14963865024878
"142",631,9,3,72,"Female","N5","NT",5082.56,8.49455,135,61.3947,5.03837,55,75.5422,19.5529,56.1888,16,4,20,0,0,13,18.06,2,7.99,81.9486,216.95,250.117,205.572,68.1014,271.905,NA,NA,NA,NA,NA,0.01031,0.01737,13,0.1341,5,2,11,11,5,3,NA,-6.94619845563241
"143",632,10,3,1,"Male","C4","NT",4615.37,7.84499,128,82.9496,16.7834,57,81.2479,17.2506,54.4292,16,4,20,0,0,20,48.85,3,10,132.933,134.168,310.677,298.532,87.354,187.054,NA,NA,NA,NA,NA,0.0231,0.0265,818,18.8983,658,32,495,81,158,8,NA,11.4787081999893
"144",633,10,3,2,"Male","C4","NT",6248.69,10.6873,133,68.2683,8.74207,55,63.5969,9.14247,62.142,10,10,50,5,25.64,27,77.505,2,10.465,185.452,195.996,153.62,239.573,70.7708,201.502,NA,NA,NA,NA,NA,0.01974,0.02754,1833,36.194,1875,25,163,241,158,8,NA,4.31570594570084
"145",634,10,3,3,"Male","C4","NT",4435.45,7.50722,143,123.223,0.8008,59,68.6687,1.16783,50.2697,9,11,55,0,0,18,64.925,5,9.42,184.084,143.143,186.22,328.662,60.2269,184.184,NA,NA,NA,NA,NA,0.01105,0.02512,272,3.0072,443,19,718,108,158,4,NA,14.0859049305249
"146",635,10,3,4,"Male","C4","NT",4872.52,8.15533,118,65.2653,0.166833,41,46.7467,0,52.0102,7,13,65,0,0,31,76.515,6,13.865,296.63,118.318,135.369,272.139,68.0013,214.815,NA,NA,NA,NA,NA,0.01629,0.0201,1012,16.4909,1200,25,259,169,158,7,NA,5.88597690952329
"147",636,10,3,5,"Male","A9-old","ASD",3580.4,6.04601,102,123.557,0.967634,38,77.5108,1.16783,45.543,17,3,15,0,0,7,7.75,0,0,162.563,240.774,162.963,296.93,74.6079,201.068,NA,NA,NA,NA,NA,0.03208,0.06629,137,4.3955,13,16,19873,9,7943,1,NA,9.62473744874477
"148",637,10,3,6,"Male","A9-old","ASD",3733.72,6.28967,130,113.113,11.0777,52,72.7394,14.648,47.3113,12,8,40,0,0,20,57.385,5,9.665,176.476,289.523,114.381,269.403,88.7554,183.417,NA,NA,NA,NA,NA,0.00749,0.0203,121,0.9069,83,8,4359,39,158,2,NA,9.49450112627534
"149",638,10,3,7,"Male","A9-old","ASD",4488.96,7.49202,134,107.274,0,52,108.008,0.033366,55.0131,11,9,45,0,0,17,57.15,3,11.365,167.301,230.097,159.059,257.157,82.3824,197.531,NA,NA,NA,NA,NA,0.00735,0.01848,148,1.0889,3,5,154660,2,39811,2,NA,6.5568037863326
"150",639,10,3,8,"Male","A9-old","ASD",4905.92,8.2657,129,105.806,2.4024,54,53.8539,19.8866,55.191,10,10,50,0,0,11,25.3,2,11.455,209.843,191.191,156.29,227.694,42.9096,250.083,NA,NA,NA,NA,NA,0.00537,0.01572,168,0.9028,10,5,26651,9,32,1,NA,-2.34303869796997
"151",640,10,3,9,"Male","A17-old","ASD",2770.13,5.23559,54,52.1522,1.33467,26,43.5769,11.378,37.035,18,2,10,0,0,14,25.46,4,7.995,148.582,289.656,138.672,257.558,91.6583,211.812,NA,NA,NA,NA,NA,0.01677,0.03983,130,2.1803,47,7,6515,32,631,1,NA,4.87312780961715
"152",641,10,3,10,"Male","A17-old","ASD",2946.9,5.11991,76,58.0914,29.9299,38,56.2229,79.713,42.1898,9,11,55,0,0,8,14.475,4,13.565,165.132,213.213,191.458,288.822,77.978,201.602,NA,NA,NA,NA,NA,0.03425,0.04625,151,5.1727,12,12,24859,2,63096,6,NA,8.89230543366557
"153",642,10,3,11,"Male","A17-old","ASD",3459.66,5.79026,110,135.269,4.87154,50,68.0681,6.87354,44.7589,10,10,50,0,0,14,37.155,2,0.575,182.015,160.861,221.622,212.045,45.0117,288.488,NA,NA,NA,NA,NA,0.01109,0.01441,417,4.626,861,23,388,170,158,5,NA,-7.63615985359607
"154",643,10,3,12,"Male","A17-old","ASD",4252.27,7.14272,99,61.1612,0.2002,30,18.4518,0,51.899,12,8,40,0,0,11,40.07,1,4.89,255.289,141.708,147.481,258.292,81.0477,218.151,NA,NA,NA,NA,NA,0.00897,0.01714,101,0.906,173,5,1995,8,6310,22,NA,4.2125710735597
"155",644,10,3,13,"Male","A11-old","ASD",4115.57,6.98949,127,72.3056,3.6036,52,59.326,3.93727,53.2751,14,6,30,0,0,12,34.26,3,8.315,156.99,161.128,194.962,272.606,60.6273,228.929,NA,NA,NA,NA,NA,0.01081,0.0244,107,1.1573,22,7,15112,11,5012,2,NA,4.35433220014556
"156",645,10,3,14,"Male","A11-old","ASD",3919.7,6.78683,84,51.7851,2.56923,26,22.1889,3.13647,46.2077,7,13,65,0,0,21,29.345,3,11.395,207.508,181.648,175.375,283.75,35.1685,217.15,NA,NA,NA,NA,NA,0.01485,0.03456,108,1.6038,84,5,4111,20,3981,4,NA,6.64803353962867
"157",646,10,3,15,"Male","A11-old","ASD",4535.39,7.58176,137,84.8515,2.33567,57,89.3894,12.646,54.3261,13,7,35,0,0,15,57.33,11,18.32,98.365,158.091,302.236,255.656,53.954,226.293,NA,NA,NA,NA,NA,0.01413,0.01895,345,4.8752,456,29,727,63,158,7,NA,3.04627668072763
"158",647,10,3,16,"Male","A11-old","ASD",3895.77,6.5289,90,57.1572,5.5055,23,26.0928,16.9169,48.7767,15,5,25,5,22.805,16,72.185,5,9.2,207.774,248.949,90.7574,279.513,55.4555,212.713,NA,NA,NA,NA,NA,0.00109,0.00347,875,0.9593,89,13,4035,57,158,2,NA,6.78550096906705
