"","X","Round","Cycle","MouseID","Gender","Donor","ASD_diagnosis","OFT_Distance","OFT_velocity","OFT_LrgCntr_freq","OFT_LrgCntr_duration","OFT_LrgCntr_latency","OFT_SmlCntr_freq","OFT_SmlCntr_duration","OFT_SmlCntr_latency","OFT_Movement","MB_visible","MB_buried","MB_percentBuried","DSI_Agrsn_freq","DSI_Agrsn_duration","DSI_Social_freq","DSI_Social_duration","DSI_Groom_freq","DSI_Groom_Duration","SI_Habit_Social","SI_Habit_Cntr","SI_Habit_NonSocial","SI_Sociability_Social","SI_Sociability_Cntr","SI_Sociability_NonSocial","Unnamed..30","Unnamed..31","Unnamed..32","USV_freq","USV_Duration","DSI_USV_median","DSI_USV_StdDev","DSI_USV_Freq","DSI_USV_Duration","DSI_USV_Slbl_num","DSI_USV_Slbl_Duration","DSI_USV_Slbl_Gap_Length","DSI_USV_Slbl_Bout_freq","DSI_USV_Slbl_Bout_gap","DSI_USV_Slbl_SlblPerBout","Unnamed..45","SI_index"
"192",681,10,3,50,"Female","C4","NT",6075.75,10.7899,115,72.0387,1.53487,40,32.7995,12.5792,60.0178,7,13,65,0,0,11,23.155,0,0,209.676,207.107,95.3287,328.095,43.9773,187.421,NA,NA,NA,NA,NA,0.00729,0.01469,209,1.5246,260,16,1249,27,1000,10,NA,13.6439994102996
"193",682,10,3,51,"Female","C4","NT",5843.43,10.0061,165,77.3106,3.7037,66,72.7728,10.1101,60.9798,17,3,15,0,0,15,16.235,0,0,145.012,147.347,257.724,278.478,88.4218,183.65,NA,NA,NA,NA,NA,0.00248,0.00378,33,0.0821,15,13,23487,7,25119,2,NA,10.2599279853201
"194",683,10,3,52,"Female","C4","NT",5401.66,9.07443,166,80.7808,0,70,95.2953,25.4588,58.3774,7,13,65,0,0,20,40.76,4,14.305,215.782,171.905,161.128,273.774,60.4938,222.923,NA,NA,NA,NA,NA,0.01463,0.02394,36,0.527,21,10,16058,5,12589,4,NA,5.11891555616402
"195",684,10,3,53,"Female","A9-old","ASD",4323.23,7.41062,96,76.5432,13.5469,33,66.1328,28.5285,49.5218,15,5,25,0,0,20,40.765,1,6.81,198.031,193.427,126.426,250.884,78.3117,214.014,NA,NA,NA,NA,NA,0.00867,0.0174,119,1.032,27,10,13566,8,19953,3,NA,3.96538595562897
"196",685,10,3,54,"Female","A9-old","ASD",4641.97,7.84215,95,72.0387,10.7441,34,61.7284,10.9443,53.3975,15,5,25,0,0,15,20.775,1,4.75,71.9386,189.656,188.188,179.68,77.2439,267.568,NA,NA,NA,NA,NA,0.01103,0.01576,373,4.1145,400,19,789,76,251,5,NA,-9.82542124280042
"197",686,10,3,55,"Female","A9-old","ASD",3159.2,5.29211,71,66.0661,1.96863,32,34.4678,2.4024,40.7362,15,5,25,0,0,18,31.08,3,8.405,204.104,196.663,126.994,270.137,58.8922,221.788,NA,NA,NA,NA,NA,0.00413,0.00751,151,0.0624,100,11,3442,38,200,3,NA,4.91426538598364
"198",687,10,3,56,"Female","A9-old","ASD",5132.33,8.72121,147,66.4665,7.44077,63,87.4875,7.90791,60.1813,12,8,40,0,0,22,38.065,2,12.685,105.072,236.203,194.027,308.175,55.8892,197.397,NA,NA,NA,NA,NA,0.00547,0.01343,42,0.23,10,5,35499,8,126,1,NA,10.9557095725238
"199",688,10,3,57,"Female","A17-old","ASD",4076.95,6.89461,154,92.6927,0.333667,63,57.958,0.533867,51.8768,11,9,45,0,0,5,5.68,1,7.085,182.115,264.097,82.0153,237.905,110.077,198.332,NA,NA,NA,NA,NA,0.01519,0.03692,71,1.0786,39,9,9273,14,3981,3,NA,4.535722554483
"200",689,10,3,58,"Female","A17-old","ASD",3254.24,5.56613,105,78.6787,3.003,47,143.777,13.0464,42.8849,15,5,25,0,0,9,9.07,1,6.45,76.1428,93.0597,386.353,251.652,49.7497,222.422,NA,NA,NA,NA,NA,0.00322,0.00698,81,0.2615,20,11,16368,15,316,1,NA,3.08285204419563
"201",690,10,3,59,"Female","A17-old","ASD",3681.73,6.33927,122,89.3226,3.37004,44,47.7477,3.7037,46.3215,7,13,65,0,0,17,16.88,2,9.61,198.665,193.861,156.056,215.582,61.962,270.304,NA,NA,NA,NA,NA,0.00457,0.00695,16,0.0732,NA,NA,NA,NA,NA,NA,NA,-5.6311562794565
"202",691,10,3,60,"Female","A17-old","ASD",3527.21,6.04613,106,70.971,0.5005,39,54.0541,0.7007,42.3789,12,8,40,0,0,6,6.7,5,13.24,173.44,104.371,199.333,262.396,65.7324,185.152,NA,NA,NA,NA,NA,0.018,0.03008,39,0.7022,18,12,18590,16,16,1,NA,8.62968888253326
"203",692,10,3,61,"Female","A11-old","ASD",3890.34,6.6488,70,36.5032,21.9553,23,33.1665,64.1975,47.7395,6,14,70,0,0,23,40.245,3,9.06,176.343,195.062,175.509,415.916,57.4908,103.036,NA,NA,NA,NA,NA,0.00916,0.01792,293,2.6853,117,26,2683,39,200,3,NA,30.1453698993356
"204",693,10,3,62,"Female","A11-old","ASD",5691.27,9.59268,178,107.875,7.04037,78,126.059,7.34067,61.0799,3,17,85,0,0,14,32.43,3,9.8,257.124,186.42,95.5289,231.265,62.1622,216.283,NA,NA,NA,NA,NA,0.00785,0.02181,124,0.9741,38,6,9102,24,251,2,NA,1.67378694575778
"205",694,10,3,63,"Female","A11-old","ASD",3083.53,5.25823,87,107.407,1.63497,32,51.9519,2.002,39.9488,4,16,80,0,0,12,26.8,2,6.485,211.478,242.242,112.946,370.704,65.7324,123.757,NA,NA,NA,NA,NA,0.01272,0.01966,25,0.318,40,14,5740,25,126,2,NA,24.9713324205549
"206",695,10,3,64,"Female","A11-old","ASD",4834.91,8.20883,146,101.235,0.633967,54,60.3937,0.834167,53.2225,15,5,25,0,0,13,30.7,1,9.42,254.655,141.375,113.18,326.793,47.8145,132.766,NA,NA,NA,NA,NA,0.01097,0.03066,275,3.0183,47,7,6617,36,158,1,NA,21.1101294937103
